Key,SourceString
"Settings.Gameplay.Camera.RotationRateModifier","Rotation Rate Modifier"
"Settings.Gameplay.Camera.RotationRateModifier_Description","Multiplies the delta time used in the camera rotation by this modifier.\r\nType: Slider"
"Settings.Gameplay.Camera.TargetInterpSpeed","Target Interpolation Speed"
"Settings.Gameplay.Camera.TargetInterpSpeed_Description","The interpolation speed for between the current rotation and the target rotation.\r\nType: Slider"
"Settings.Gameplay.Camera.ScrollSpeed","Scroll Speed"
"Settings.Gameplay.Camera.ScrollSpeed_Description","TODO(Actual Description Needed)\r\nType: Slider"
"Settings.Gameplay.Camera.DOF","Depth of Field"
"Settings.Gameplay.Camera.DOF_Description","Controls the cameras Depth of field.\r\nType: Slider"
"Settings.Gameplay.Camera.FOV","Field of View"
"Settings.Gameplay.Camera.FOV_Description","Controls the cameras Field of View.\r\nType: Slider"
"Settings.Gameplay.ActionLog.Show","Show Action Log"
"Settings.Gameplay.ActionLog.Show_Description","TODO(Actual Description Needed)\r\nType: Checkbox"
"Settings.Gameplay.ActionLog.ColorHightlight0","Color Hightlight Type 0 "
"Settings.Gameplay.ActionLog.ColorHightlight0_Description","TODO: FColor picker type needed"
"Settings.Gameplay.ActionLog.ColorHightlight1","Color Hightlight Type 1"
"Settings.Gameplay.ActionLog.ColorHightlight1_Description","TODO: FColor picker type needed"
"Settings.Gameplay.Difficulty.Combat","Combat Difficulty"
"Settings.Gameplay.Difficulty.Combat_Description","AI Behaviour"
"Settings.Gameplay.Difficulty.World","World Difficulty"
"Settings.Gameplay.Difficulty.World_Description","FogOfWar"
"Settings.Video.Display.Mode","Display Mode"
"Settings.Video.Display.Mode_Description","TODO(Actual Description Needed)\r\nType: List of options [Windowed,Borderless,Fullscreen]"
"Settings.Video.Display.Resolution","Display Resolution"
"Settings.Video.Display.Resolution_Description","List of available resolutions"
"Settings.Video.Display.ResolutionScale","Display Resolution Scalar"
"Settings.Video.Display.ResolutionScale_Description","TODO(Actual Description Needed)\r\nType: Slider"
"Settings.Video.Display.FPSLimit","FPS Limit"
"Settings.Video.Display.FPSLimit_Description","TODO(Actual Description Needed)\r\nType: List of options [30, 60, 90, 120]"
"Settings.Video.Display.VSync","V-Sync"
"Settings.Video.Display.VSync_Description","TODO(Actual Description Needed)\r\nType: Checkbox"
"Settings.Video.Display.Gamma","Gamma"
"Settings.Video.Display.Gamma_Description","TODO(Actual Description Needed)\r\nType: Slider"
"Settings.Video.Display.AntiAliasing","Anti-aliasing"
"Settings.Video.Display.AntiAliasing_Description","TODO(Actual Description Needed)\r\nType: List of AA options [TODO, TODO]"
"Settings.Video.Effects.AmbientOcclusion","Ambient Occlusion"
"Settings.Video.Effects.AmbientOcclusion_Description","TODO(Actual Description Needed)\r\nType: CheckBox"
"Settings.Video.Effects.MotionBlur","Motion Blur"
"Settings.Video.Effects.MotionBlur_Description","TODO(Actual Description Needed)\r\nType: CheckBox"
"Settings.Video.Effects.FilmGrain","Film Grain"
"Settings.Video.Effects.FilmGrain_Description","TODO(Actual Description Needed)\r\nType: CheckBox"
"Settings.Video.Graphics.TextureQuality","Texture Quality"
"Settings.Video.Graphics.TextureQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.ShadowQuality","Shadow Quality"
"Settings.Video.Graphics.ShadowQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.ReflectionQuality","Reflection Quality"
"Settings.Video.Graphics.ReflectionQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.GIQuality","Global Illumination Quality"
"Settings.Video.Graphics.GIQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.ParticleQuality","Particle Effect Quality"
"Settings.Video.Graphics.ParticleQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.FoliageQuality","Foliage Quality"
"Settings.Video.Graphics.FoliageQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.ResolutionQuality","Animation Quality"
"Settings.Video.Graphics.ResolutionQuality_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.PostProcessQuality","Post Process Quality"
"Settings.Video.Graphics.PostProcessQuality_Description","Post process Quality \""TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Video.Graphics.ViewDistance","View Distance"
"Settings.Video.Graphics.ViewDistance_Description","TODO(Actual Description Needed)\r\nType: List of options[Low, Mid, High, Epic]"
"Settings.Audio.Volume.Master","Master Volume"
"Settings.Audio.Volume.Master_Description","TODO(Actual Description Needed) \r\nType: Slider [0, 100]"
"Settings.Audio.Volume.SFX","SFX Volume"
"Settings.Audio.Volume.SFX_Description","TODO(Actual Description Needed)\r\nType: Slider [0, 100]"
"Settings.Audio.Volume.Music"," Music Volume"
"Settings.Audio.Volume.Music_Description","TODO(Actual Description Needed)\r\nType: Slider [0, 100]"
"Settings.Audio.Volume.Ambient","Ambient Volume"
